"Name","NameNoSep","Abbreviation","Region","NestingTarget","SummerTarget"
"Bear River","BearRiver","BrRv","Southwest Region",15.43,16.71
"Blacks Fork","BlacksFork","BlcF","Southwest Region",15.43,16.71
"Buffalo","Buffalo","Bffl","Northeast Region",9.04,10.36
"Continental Divide","ContinentalDivide","CntD","Southwest Region",15.43,16.71
"Crowheart","Crowheart","Crwh","Central Region",13.32,12.29
"Daniel","Daniel","Danl","Southwest Region",15.43,16.71
"Douglas","Douglas","Dgls","Northeast Region",9.04,10.36
"Elk Basin East","ElkBasinEast","ElBE","Central Region",13.32,12.29
"Elk Basin West","ElkBasinWest","ElBW","Central Region",13.32,12.29
"Fontenelle","Fontenelle","Fntn","Southwest Region",15.43,16.71
"Grass Creek","GrassCreek","GrsC","Central Region",13.32,12.29
"Greater South Pass 1","GreaterSouthPass1","GSP1","Southwest Region",15.43,16.71
"Greater South Pass 2","GreaterSouthPass2","GSP2","Southwest Region",15.43,16.71
"Greater South Pass 3","GreaterSouthPass3","GSP3","Central Region",13.32,12.29
"Greater South Pass 4","GreaterSouthPass4","GSP4","Central Region",13.32,12.29
"Greater South Pass 5","GreaterSouthPass5","GSP5","Southwest Region",15.43,16.71
"Hanna","Hanna","Hann","Central Region",13.32,12.29
"Heart Mountain","HeartMountain","HrtM","Central Region",13.32,12.29
"Hyattville","Hyattville","Hytt","Central Region",13.32,12.29
"Jackson","Jackson","Jcks","Southwest Region",15.43,16.71
"Little Mountain","LittleMountain","LttM","Central Region",13.32,12.29
"Natrona 1","Natrona1","Ntr1","Central Region",13.32,12.29
"Natrona 2","Natrona2","Ntr2","Central Region",13.32,12.29
"Natrona 3","Natrona3","Ntr3","Northeast Region",9.04,10.36
"Newcastle","Newcastle","Nwcs","Northeast Region",9.04,10.36
"North Gillette","NorthGillette","NrthGll","Northeast Region",9.04,10.36
"North Glenrock","NorthGlenrock","NrthGln","Northeast Region",9.04,10.36
"North Laramie","NorthLaramie","NrtL","Central Region",13.32,12.29
"Oregon Basin","OregonBasin","OrgB","Central Region",13.32,12.29
"Powder","Powder","Pwdr","Southwest Region",15.43,16.71
"Sage","Sage","Sage","Southwest Region",15.43,16.71
"Salt Wells","SaltWells","SltW","Southwest Region",15.43,16.71
"Seedskadee","Seedskadee","Sdsk","Southwest Region",15.43,16.71
"Shell","Shell","Shll","Central Region",13.32,12.29
"South Rawlins","SouthRawlins","SthR","Central Region",13.32,12.29
"Thermopolis","Thermopolis","Thrm","Central Region",13.32,12.29
"Thunder Basin","ThunderBasin","ThnB","Northeast Region",9.04,10.36
"Uinta","Uinta","Uint","Southwest Region",15.43,16.71
"Washakie","Washakie","Wshk","Central Region",13.32,12.29
